Program Time [s],data 0,data 1,data 2
4.97084,0.31,-10.3,1.42
5.47371,0.34,-10.26,1.38
5.97681,0.31,-10.26,1.42
6.48024,0.27,-10.22,1.45
6.98325,0.31,-10.26,1.45
7.48613,0.27,-10.22,1.45
7.9893,0.31,-10.3,1.42
8.49247,0.27,-10.26,1.42
8.99559,0.31,-10.26,1.42
9.49911,0.27,-10.3,1.42
10.0017,0.27,-10.34,0.46
10.5048,0.31,-10.34,0.42
11.0079,0.38,-10.26,0.31
11.5111,3.29,-9.07,1.72
12.0142,4.71,-5.17,5.47
12.5173,1,3.37,9.03
13.0204,-0.69,3.6,9.88
13.5235,-6.85,-8.5,7.66
14.0267,-6.16,-0.11,7.43
14.5297,-3.87,2.18,9.65
15.0328,1.07,-3.33,10.03
15.5359,-0.8,-7.62,9.49
16.0389,1.49,-4.56,7.35
16.542,-2.07,9.8,-3.1
17.0451,-2.14,-8.27,-3.64
17.5485,-1.26,-10.41,0.57
18.0516,7.16,7.16,5.4
18.5547,6.7,-4.63,-2.03
19.0577,4.25,-2.95,0.69
19.5608,3.56,9.57,3.52
20.0639,4.63,-8.88,-3.18
20.5671,2.34,-2.79,-9.49
21.0701,4.44,0.88,-5.13
21.5731,2.18,-4.36,7.08
22.0762,-8.08,-4.56,-5.9
22.5793,0.46,5.93,-14.51
23.0824,-11.87,-5.74,-7.96
23.5856,-5.7,1.84,-11.48
24.0887,-1.38,-2.49,-7.62
24.5917,-1,-0.8,-9.65
25.0949,-2.41,3.52,-6.32
25.5979,-2.53,-6.32,-10.64
26.1009,-7.58,-9.46,-8.15
26.6041,-6.55,5.59,-11.6
27.1072,-1.72,-7.89,-12.36
27.6104,-10.18,-9.57,-7.08
28.1135,-6.74,-3.41,1.34
28.6166,-2.95,4.9,-13.44
29.1197,4.56,5.63,-2.68
29.6228,-2.26,-1.8,-11.87
30.1259,-2.07,4.71,-13.86
30.6291,5.82,-0.31,-12.33
31.1322,7.35,-5.86,7.08
31.6354,-1.84,-6.81,-17.26
32.1385,-7.92,-9.34,-6.78
32.6416,4.1,-7.27,-7.04
33.1446,1,-1.07,-9.88
33.6477,-5.86,-4.36,-10.49
34.1509,-2.53,-9.03,1.38
34.6539,-0.73,-9.38,5.01
35.1571,-9.19,7.46,-4.71
35.6602,3.33,-4.33,-11.48
36.1634,-7.04,4.86,6.01
36.6664,0.73,-6.24,0.46
37.1695,2.26,-4.4,0
37.6726,4.02,2.03,0.8
38.1756,2.11,3.37,-9.95
38.6788,5.47,-1.49,-10.45
39.1819,-5.7,-4.63,-8.96
39.6851,1.07,-5.44,-3.64
40.1881,0.69,-7.77,6.55
