Program Time [s],data 0,data 1,data 2
4.92538,-485,-173,-260
5.00412,-484,-174,-261
5.08313,-486,-173,-259
5.16229,-485,-173,-260
5.24114,-486,-173,-260
5.32015,-485,-174,-260
5.39911,-485,-172,-261
5.47822,-485,-177,-255
5.5575,-494,-174,-247
5.63617,-502,-171,-234
5.71541,-463,-170,-295
5.79437,-468,-147,-299
5.87313,-464,-132,-302
5.95213,-472,-111,-303
6.03111,-479,-91,-303
6.11027,-481,-80,-302
6.18916,-467,-91,-302
6.2681,-467,-74,-303
6.34711,-460,-60,-302
6.42634,-464,-42,-300
6.50532,-460,-37,-296
6.58411,-461,-23,-294
6.66342,-463,-17,-290
6.74225,-468,-5,-286
6.82117,-469,7,-283
6.90012,-470,17,-279
6.97934,-471,27,-274
7.05812,-471,36,-269
7.1374,-472,44,-266
7.21613,-478,56,-262
7.29532,-473,59,-257
7.3743,-478,72,-250
7.4531,-476,77,-244
7.5321,-481,92,-234
7.61132,-482,99,-228
7.69055,-480,100,-225
7.76906,-478,103,-219
7.84812,-476,113,-206
7.92726,-484,125,-197
8.00632,-484,132,-181
8.08507,-478,135,-163
8.16408,-493,154,-154
8.2435,-491,154,-149
8.32237,-493,157,-144
8.40113,-495,161,-138
8.48011,-495,164,-127
8.55925,-487,161,-114
8.63808,-477,142,-100
8.7171,-471,135,-71
8.79608,-491,157,-51
8.87527,-488,151,-40
8.95409,-498,160,-37
9.03307,-501,162,-33
9.11206,-501,165,-28
9.19112,-489,151,-26
9.27006,-499,159,-25
9.3491,-498,157,-29
9.42807,-495,153,-7
9.50708,-494,149,-1
9.58609,-491,145,1
9.66507,-502,154,9
9.7441,-488,136,16
9.82327,-489,127,33
9.90209,-492,118,48
9.98111,-490,110,58
10.0601,-492,96,69
10.1393,-491,79,81
10.218,-489,64,88
10.2975,-495,65,94
10.3761,-492,63,95
10.455,-496,60,98
10.534,-498,54,103
10.6131,-495,49,106
10.692,-494,44,110
10.7711,-499,48,115
10.8501,-497,52,127
10.9293,-498,54,129
11.0081,-499,50,134
11.087,-493,38,135
11.1661,-497,39,139
11.2451,-498,32,142
11.324,-501,25,147
11.403,-501,13,151
11.4822,-503,8,154
11.5611,-503,3,156
11.6401,-502,-3,158
11.7191,-502,-24,162
11.7981,-497,-54,165
11.8771,-499,-72,166
11.9561,-496,-86,166
12.0351,-505,-93,165
12.1141,-505,-106,165
12.1931,-503,-119,164
12.2721,-502,-138,159
12.3511,-503,-151,154
12.4301,-503,-169,148
12.5091,-501,-185,140
12.5881,-501,-199,132
12.6671,-501,-209,125
12.7461,-499,-222,118
12.8251,-498,-234,108
12.9041,-499,-245,99
12.9831,-500,-256,87
13.0621,-497,-268,74
13.1411,-497,-277,63
13.2201,-497,-291,45
13.2992,-497,-297,32
13.3783,-496,-299,26
13.4571,-495,-302,21
13.536,-496,-307,10
13.6151,-496,-310,2
13.6941,-494,-314,-10
13.7733,-493,-318,-22
13.8521,-493,-320,-38
13.9311,-492,-322,-50
14.0101,-490,-323,-61
14.0891,-487,-328,-70
14.1681,-487,-327,-80
14.2471,-487,-327,-86
14.3263,-485,-328,-90
14.4051,-486,-326,-90
14.4841,-487,-325,-92
14.5631,-487,-326,-92
14.6421,-485,-326,-92
14.7211,-484,-326,-91
14.8001,-485,-325,-89
14.8793,-486,-325,-89
14.9581,-484,-324,-90
15.0371,-479,-331,-92
15.1161,-484,-326,-92
15.1951,-476,-334,-95
15.2742,-474,-333,-103
15.3531,-485,-316,-125
15.4321,-483,-313,-144
15.5111,-483,-309,-148
15.5905,-483,-308,-151
15.6691,-482,-307,-155
15.7481,-481,-305,-163
15.8271,-479,-301,-176
15.9063,-478,-302,-177
15.9851,-476,-304,-178
16.0647,-478,-302,-183
16.1431,-474,-302,-185
16.2223,-473,-298,-190
16.3011,-475,-291,-201
16.3801,-476,-275,-213
16.4592,-474,-260,-228
16.5385,-473,-244,-241
16.6171,-472,-219,-258
16.6961,-473,-203,-265
16.7751,-471,-181,-275
16.8541,-471,-156,-281
16.933,-472,-120,-288
17.0121,-471,-101,-290
17.0911,-472,-84,-290
17.1701,-473,-64,-288
17.2491,-472,-38,-285
17.3281,-473,-19,-279
17.4071,-473,-6,-276
17.4861,-474,1,-274
17.5651,-477,18,-267
17.644,-477,35,-260
17.7231,-478,50,-249
17.8021,-478,70,-236
17.8811,-480,84,-226
17.96,-481,101,-211
18.0391,-481,111,-199
18.1181,-483,122,-186
18.1978,-484,133,-173
18.276,-485,146,-146
18.355,-485,154,-126
18.434,-487,155,-125
18.5134,-489,158,-114
18.592,-488,161,-103
18.6711,-488,163,-95
18.7501,-490,166,-83
18.829,-491,167,-66
18.908,-490,169,-50
18.9871,-492,168,-35
19.0661,-491,164,-21
19.1451,-494,160,1
19.2241,-496,155,28
19.303,-496,147,45
19.3821,-495,138,55
19.4611,-500,132,75
19.54,-499,124,82
19.619,-499,123,85
19.6986,-496,120,84
19.7777,-499,129,77
19.856,-497,149,51
19.9351,-488,169,-8
20.0141,-490,177,-38
20.0931,-484,169,-68
20.1722,-479,163,-97
20.2511,-482,163,-107
20.3301,-482,164,-108
20.409,-481,166,-110
20.488,-478,160,-119
20.567,-477,158,-125
20.6463,-476,155,-133
20.7251,-476,154,-139
20.8041,-471,141,-161
20.8831,-473,123,-183
20.962,-469,96,-215
21.0411,-469,81,-232
21.12,-470,68,-245
21.199,-472,51,-258
21.2781,-472,35,-268
21.3571,-470,22,-274
21.4361,-470,-1,-282
21.5151,-468,-26,-290
21.5943,-468,-55,-297
21.6735,-465,-87,-301
21.7521,-465,-107,-301
21.8311,-465,-123,-300
21.9104,-465,-129,-299
21.9895,-462,-144,-295
22.068,-463,-154,-294
22.1472,-464,-166,-292
22.2264,-462,-188,-289
22.3055,-458,-202,-286
22.384,-464,-210,-281
22.4631,-464,-216,-276
22.5424,-463,-228,-271
22.6214,-463,-237,-264
22.7,-462,-248,-258
22.7791,-461,-254,-255
22.8581,-460,-260,-250
22.9371,-462,-268,-243
23.0161,-463,-278,-236
23.0951,-463,-281,-233
23.1744,-464,-285,-227
23.2531,-463,-288,-224
23.3321,-465,-293,-221
23.4111,-466,-295,-220
23.4901,-463,-303,-214
23.5691,-461,-305,-211
23.6481,-462,-307,-212
23.7271,-464,-306,-212
23.8064,-463,-306,-211
23.885,-464,-306,-212
23.9641,-465,-307,-211
24.0431,-465,-306,-211
24.122,-465,-306,-210
24.2011,-465,-308,-209
24.2802,-465,-306,-210
24.359,-466,-307,-211
24.438,-464,-306,-210
24.517,-465,-306,-208
24.5961,-467,-306,-209
24.6751,-465,-307,-212
24.754,-465,-305,-211
24.8331,-465,-305,-211
24.9121,-467,-304,-210
24.9911,-467,-304,-210
25.07,-467,-305,-210
25.1491,-467,-305,-209
