Program Time [s],data 0,data 1,data 2,data 3
7.16219,0.98,0.16,2.24,2.45
7.23182,0.98,0.16,2.25,2.46
7.30147,0.98,0.16,2.25,2.45
7.37112,0.98,0.16,2.25,2.45
7.44075,0.98,0.16,2.25,2.46
7.51039,0.98,0.16,2.25,2.46
7.58003,0.98,0.16,2.25,2.46
7.64963,0.98,0.16,2.24,2.45
7.71926,0.98,0.16,2.25,2.45
7.78892,0.98,0.16,2.25,2.45
7.85853,0.98,0.16,2.25,2.46
7.9282,0.98,0.16,2.25,2.45
7.99777,0.98,0.16,2.24,2.45
8.06745,0.98,0.16,2.24,2.45
8.13712,0.98,0.16,2.24,2.45
8.20672,0.98,0.16,2.25,2.45
8.27634,0.98,0.16,2.25,2.46
8.34601,0.98,0.16,2.25,2.45
8.4156,0.98,0.16,2.24,2.45
8.48525,0.98,0.16,2.24,2.45
8.55495,0.98,0.16,2.25,2.46
8.62454,0.98,0.15,2.25,2.45
8.69416,0.98,0.16,2.24,2.45
8.76381,0.98,0.16,2.24,2.45
8.83344,0.98,0.16,2.25,2.46
8.90314,0.98,0.15,2.24,2.45
8.97275,0.98,0.16,2.25,2.45
9.04244,0.98,0.16,2.24,2.45
9.11215,0.98,0.16,2.24,2.45
9.18173,0.97,0.16,2.24,2.45
9.25145,0.98,0.15,2.24,2.45
9.32102,0.98,0.15,2.24,2.45
9.39065,0.98,0.15,2.25,2.46
9.46035,0.98,0.15,2.25,2.46
9.52998,0.98,0.15,2.25,2.45
9.5996,0.98,0.15,2.24,2.45
9.66931,0.97,0.15,2.24,2.45
9.73897,0.98,0.15,2.24,2.45
9.8086,0.98,0.15,2.24,2.45
9.87819,0.98,0.15,2.25,2.45
9.9478,0.98,0.12,2.24,2.45
10.0175,0.97,0.14,2.24,2.44
10.0872,0.97,0.37,2.23,2.46
10.1568,1.13,0.54,2.19,2.53
10.2264,1.16,0.64,2.13,2.51
10.2961,1.49,0.59,2.14,2.67
10.3657,1.89,0.51,1.94,2.75
10.4354,1.97,0.46,1.87,2.76
10.505,2.01,0.48,1.77,2.72
10.5746,2.03,0.49,1.46,2.55
10.6443,1.96,0.43,1.16,2.31
10.714,1.84,0.37,0.93,2.1
10.7836,1.78,0.33,0.84,2
10.8532,1.72,0.31,0.77,1.91
10.9228,1.61,0.3,0.66,1.76
10.9924,1.57,0.43,0.67,1.76
11.0621,1.58,0.54,0.73,1.82
11.1317,1.63,0.54,0.78,1.89
11.2013,1.68,0.49,0.79,1.92
11.271,1.73,0.45,0.82,1.96
11.3406,1.78,0.39,0.84,2
11.4103,1.81,0.35,0.86,2.04
11.48,1.82,0.4,0.88,2.06
11.5496,1.84,0.52,0.98,2.15
11.6193,1.79,0.7,1.08,2.2
11.6889,1.67,0.84,1.11,2.17
11.7585,1.61,0.89,1.12,2.16
11.8282,1.59,0.9,1.12,2.14
11.8978,1.58,0.91,1.13,2.15
11.9675,1.62,0.91,1.21,2.21
12.0372,1.69,0.89,1.33,2.33
12.1068,1.75,0.84,1.62,2.53
12.1764,1.62,0.8,1.92,2.64
12.246,1.38,0.81,2.03,2.58
12.3156,1.28,0.91,1.93,2.49
12.3853,1.29,0.97,1.83,2.44
12.455,1.42,0.98,1.77,2.47
12.5246,1.36,0.99,1.76,2.44
12.5943,1.19,1.04,1.68,2.3
12.664,0.95,1.03,1.62,2.14
12.7336,0.81,0.96,1.66,2.08
12.8032,0.6,0.86,1.62,1.93
12.8728,0.57,0.82,1.66,1.94
12.9425,0.46,0.79,1.52,1.77
13.0122,0.33,0.7,1.43,1.62
13.0818,0.22,0.55,1.4,1.52
13.1514,0.13,0.4,1.33,1.4
13.2211,0.11,0.21,1.38,1.4
13.2908,0.19,-0.03,1.53,1.54
13.3604,0.31,-0.25,1.65,1.7
13.4301,0.5,-0.46,1.72,1.85
13.4997,0.65,-0.62,1.7,1.92
13.5693,0.74,-0.76,1.52,1.86
13.639,0.97,-0.84,1.51,1.98
13.7086,1.06,-0.87,1.39,1.95
13.7783,1.14,-0.87,1.27,1.92
13.848,1.35,-0.82,1.15,1.96
13.9176,1.54,-0.68,1.02,1.97
