Program Time [s],data 0,data 1,data 2
3.18546,-0.04,-10.37,0.46
3.6884,-0.11,-10.34,0.46
4.19142,-0.04,-10.34,0.42
4.69455,-0.11,-10.37,0.46
5.1977,-0.08,-10.37,0.46
5.70085,-0.11,-10.37,0.38
6.20399,-0.08,-10.34,0.46
6.70711,-0.04,-10.37,0.46
7.21018,-0.08,-10.34,0.42
7.71322,-0.04,-10.37,0.42
8.21624,-0.08,-10.34,0.46
8.71931,-0.08,-10.34,0.46
9.22237,-0.04,-10.37,0.42
9.72545,-1.11,-10.57,0.5
10.2285,-0.31,-9.95,0.65
10.7317,0.23,-10.34,0.08
11.2348,-0.08,-10.07,0.23
11.7379,0.5,-10.03,0.15
12.241,-0.11,-10.72,0.38
12.7443,0.42,-9.88,0
13.2471,0.46,-10.68,0.04
13.7502,0.11,-10.22,-0.04
14.2532,0.31,-10.18,-0.04
14.7564,0.5,-10.11,-0.04
15.2594,0.54,-10.3,0
15.7624,0.38,-10.49,0.23
16.2654,0.46,-10.41,0.23
16.7685,0.92,-10.26,0.19
17.2715,0.23,-10.57,0.73
17.7746,0.92,-10.11,0.61
18.2777,0.08,-10.53,0.42
18.7807,-0.31,-11.45,0.08
19.2838,-0.11,-10.3,0.69
19.7869,-2.03,-12.17,0.23
20.29,-0.38,-9.46,0.38
20.793,-0.31,-10.49,0.5
21.296,0.65,-9.61,0.11
21.7991,-0.46,-9.99,-0.77
22.3021,0.19,-10.49,-2.26
22.8052,0.11,-10.49,-1.8
23.3082,0.04,-9.3,-0.11
23.8112,0,-9.8,2.41
24.3142,0.19,-7.2,6.66
24.8173,0.73,-4.9,8.92
25.3203,-1.07,0.69,10.57
25.8234,-1.95,7.35,7.16
26.3265,-2.3,8.5,1.03
26.8296,-0.19,6.97,-5.78
27.3327,-0.5,4.02,-7.27
27.8358,0.46,1,-9.42
28.339,0.11,1.72,-10.53
28.8421,1.49,0.42,-9.49
29.3451,0,-1.49,-8.88
29.8481,2.95,-3.75,-7.46
30.3512,0.96,-4.75,-8.19
30.8542,2.68,-4.56,-8.31
31.3573,2.18,-4.44,-8.8
31.8603,2.11,-4.48,-8.04
32.3633,0.54,-5.05,-7.01
32.8663,0.61,-4.75,-9.46
33.3693,-1.8,-4.44,-8.92
33.8723,-3.02,0.04,-9.76
34.3755,-1.68,-2.6,-9.72
34.8785,-1.65,-2.83,-10.8
35.3815,-3.83,0.04,-9.91
35.8846,-0.23,1.07,-8.42
36.3877,2.53,3.22,-9.26
36.8909,1.8,-0.08,-8.31
37.394,3.22,-4.79,-7.66
37.8971,3.94,-3.52,-9.49
38.4002,1.49,-2.87,-8.46
38.9035,0.88,-6.85,-6.66
39.4064,0.77,-9.42,-3.56
39.9095,0.57,-9.72,2.26
40.4126,4.06,-9.61,0.92
40.9156,-0.08,-10.6,0.69
41.4186,-6.81,-9.46,0.15
41.9217,-9.42,-4.06,1
42.4248,1.38,-9.72,0.88
42.9279,8.84,-1.91,1
43.4309,8.57,4.98,-1.07
43.934,4.59,7.89,0.38
44.4371,-5.97,7.89,-0.11
44.9401,-10.37,0.73,0.31
45.4431,-6.89,6.81,0.73
45.9461,5.05,7.69,0.15
46.4491,8.77,7.12,2.26
46.9521,7.46,2.34,3.79
47.4551,7.2,-1.42,3.83
47.9581,8.31,-2.18,2.03
48.4611,9.42,-3.94,2.14
48.9641,8,-1.57,4.75
49.4672,8.42,-4.4,4.4
49.9701,3.33,-8.88,2.64
50.4732,2.91,-9.99,1.95
50.9762,-0.19,-10.49,2.18
51.4792,0.92,-10.22,1.11
51.9822,0.54,-11.6,0.54
52.4854,0.61,-10.83,-1.38
52.9884,1.57,-10.07,0.5
53.4914,0.54,-10.3,0.46
53.9945,0.65,-10.26,0.31
54.4974,0.65,-10.3,0.42
55.0004,0.54,-10.34,0.5
55.5034,0.61,-10.3,0.42
56.0065,8.65,-3.22,0.19
56.5094,8.84,-2.79,0.27
57.0124,9.03,0.5,1.03
57.5154,8.96,1.03,1.53
