Program Time [s],data 0,data 1,data 2
4.89638,-1.52588,-3.2959,0.549316
4.90631,-1.52588,-3.2959,0.549316
4.91631,-1.52588,-3.2959,0.549316
4.9228,-1.52588,-3.2959,0.549316
4.93279,-1.52588,-3.2959,0.549316
4.9428,-1.52588,-3.23486,0.549316
4.9528,-1.52588,-3.23486,0.549316
4.9628,-1.52588,-3.2959,0.549316
4.97281,-1.52588,-3.23486,0.549316
4.9828,-1.52588,-3.23486,0.549316
4.98927,-1.52588,-3.23486,0.549316
4.99932,-1.52588,-3.2959,0.549316
5.00936,-1.52588,-3.2959,0.549316
5.01939,-1.52588,-3.2959,0.549316
5.0294,-1.52588,-3.2959,0.549316
5.03944,-1.52588,-3.2959,0.549316
5.0494,-1.52588,-3.23486,0.488281
5.0558,-1.52588,-3.23486,0.488281
5.06554,-1.52588,-3.2959,0.488281
5.07551,-1.52588,-3.2959,0.488281
5.08527,-1.52588,-3.2959,0.549316
5.09537,-1.52588,-3.2959,0.549316
5.10541,-1.52588,-3.2959,0.549316
5.11544,-1.52588,-3.2959,0.549316
5.12188,-1.52588,-3.2959,0.549316
5.13189,-1.52588,-3.2959,0.549316
5.14186,-1.52588,-3.2959,0.549316
5.1519,-1.52588,-3.2959,0.549316
5.16192,-1.52588,-3.2959,0.549316
5.17172,-1.52588,-3.2959,0.549316
5.17825,-1.52588,-3.2959,0.549316
5.18834,-1.52588,-3.23486,0.549316
5.19836,-1.52588,-3.2959,0.549316
5.2084,-1.52588,-3.2959,0.488281
5.21839,-1.52588,-3.2959,0.488281
5.2284,-1.52588,-3.2959,0.488281
5.2384,-1.52588,-3.2959,0.488281
5.24484,-1.52588,-3.2959,0.488281
5.25483,-1.52588,-3.2959,0.549316
5.26487,-1.52588,-3.2959,0.549316
5.27484,-1.52588,-3.2959,0.549316
5.28484,-1.52588,-3.2959,0.549316
5.29484,-1.52588,-3.2959,0.549316
5.30137,-1.52588,-3.2959,0.549316
5.31142,-1.52588,-3.2959,0.549316
5.32144,-1.52588,-3.2959,0.549316
5.33145,-1.52588,-3.2959,0.549316
5.3415,-1.52588,-3.2959,0.549316
5.3515,-1.52588,-3.2959,0.549316
5.36149,-1.52588,-3.2959,0.549316
5.368,-1.52588,-3.2959,0.549316
5.37795,-1.52588,-3.23486,0.549316
5.38797,-1.52588,-3.2959,0.549316
5.39795,-1.52588,-3.2959,0.549316
5.40798,-1.52588,-3.2959,0.549316
5.41796,-1.52588,-3.2959,0.549316
5.4244,-1.52588,-3.2959,0.549316
