x0000,y0000,x0001,y0001,x0002,y0002
0,0,0,0,0,0,
1,0.01,1,-0.08,1,-0.1,
2,0.01,2,-0.08,2,-0.1,
3,0.01,3,-0.08,3,-0.1,
4,0.01,4,-0.08,4,-0.1,
5,0.01,5,-0.08,5,-0.1,
6,0.03,6,-0.07,6,-0.1,
7,0.03,7,-0.08,7,-0.1,
8,0.05,8,-0.07,8,-0.1,
9,0.08,9,-0.08,9,-0.1,
10,0.02,10,-0.07,10,-0.1,
11,0.02,11,-0.13,11,-0.09,
12,0.12,12,-0.16,12,-0.06,
13,0.19,13,-0.24,13,0.05,
14,0.21,14,-0.31,14,0.23,
15,0.16,15,-0.32,15,0.39,
16,0.09,16,-0.24,16,0.51,
17,0.05,17,-0.16,17,0.54,
18,0.05,18,-0.1,18,0.54,
19,0.08,19,0.07,19,0.47,
20,0.12,20,0.17,20,0.33,
21,0.16,21,0.2,21,0.17,
22,0.23,22,0.09,22,0.02,
23,0.24,23,-0.08,23,-0,
24,0.17,24,-0.21,24,0.02,
25,0.15,25,-0.32,25,0.18,
26,0.09,26,-0.32,26,0.42,
27,0.06,27,-0.17,27,0.54,
28,0.05,28,-0.06,28,0.53,
29,0.07,29,-0.01,29,0.52,
30,0.09,30,0.04,30,0.49,
31,0.11,31,0.1,31,0.43,
32,0.06,32,0.09,32,0.45,
33,-0.01,33,-0.15,33,0.54,
34,-0.03,34,-0.27,34,0.49,
35,-0.01,35,-0.36,35,0.31,
36,0.07,36,-0.34,36,0.18,
37,0.13,37,-0.26,37,0.05,
38,0.14,38,-0.11,38,-0.04,
39,0.13,39,0.03,39,-0.06,
40,0.14,40,0.15,40,0.03,
41,0.23,41,0.15,41,0.24,
42,0.24,42,0.06,42,0.38,
43,0.2,43,-0.05,43,0.48,
44,0.2,44,-0.11,44,0.5,
45,0.19,45,-0.19,45,0.49,
46,0.2,46,-0.24,46,0.45,
47,0.19,47,-0.25,47,0.45,
48,0.23,48,-0.24,48,0.42,
49,0.28,49,-0.24,49,0.3,
50,0.32,50,-0.17,50,0.26,
51,0.34,51,-0.09,51,0.29,
52,0.32,52,-0.06,52,0.35,
53,0.23,53,-0.05,53,0.46,
54,0.1,54,-0.01,54,0.51,
55,-0.09,55,0.02,55,0.47,
56,-0.22,56,0.01,56,0.37,
57,-0.23,57,0.06,57,0.16,
58,-0.17,58,0.06,58,0.02,
59,-0.06,59,0.07,59,-0.05,
60,0.11,60,0.07,60,-0.05,
61,0.25,61,-0,61,0,
62,0.33,62,-0.04,62,0.14,
63,0.33,63,-0.05,63,0.29,
64,0.25,64,-0.07,64,0.44,
65,0.07,65,-0.07,65,0.53,
66,-0.09,66,-0.07,66,0.51,
67,-0.16,67,-0.02,67,0.45,
68,-0.2,68,-0.03,68,0.43,
69,-0.12,69,-0.05,69,0.5,
70,0.11,70,-0.06,70,0.52,
71,0.31,71,-0.02,71,0.32,
72,0.29,72,-0,72,0.08,
73,0.18,73,0.01,73,-0.04,
74,0.02,74,0.02,74,-0.08,
75,0.04,75,0.07,75,-0.07,
76,0.1,76,0.13,76,-0.02,
77,0.19,77,0.17,77,0.15,
78,0.23,78,0.15,78,0.16,
79,0.29,79,0.07,79,0.11,
80,0.3,80,-0.02,80,0.08,
